"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Choline metabolism in cancer","1/98",0.550211474654346,0.762318960116851,0,0,1.26407120445668,0.755222596446285,"PLA2G4C"
"Inflammatory mediator regulation of TRP channels","1/98",0.550211474654346,0.762318960116851,0,0,1.26407120445668,0.755222596446285,"PLA2G4C"
"AGE-RAGE signaling pathway in diabetic complications","1/100",0.557504289374834,0.762318960116851,0,0,1.23840893406111,0.723583865255002,"SERPINE1"
"Coronavirus disease","2/232",0.562800796863106,0.762318960116851,0,0,1.06565217391304,0.612568346641974,"CSF2;F13A1"
"Chagas disease","1/102",0.56467957705845,0.762318960116851,0,0,1.21376299120595,0.693661700582894,"SERPINE1"
"T cell receptor signaling pathway","1/104",0.571739220087638,0.762318960116851,0,0,1.19007417234517,0.665337505296403,"CSF2"
"C-type lectin receptor signaling pathway","1/104",0.571739220087638,0.762318960116851,0,0,1.19007417234517,0.665337505296403,"MRAS"
"Parathyroid hormone synthesis, secretion and action","1/106",0.57868507092263,0.764304839341566,0,0,1.16728778467909,0.638502762677896,"CYP24A1"
"Th17 cell differentiation","1/107",0.582115895079913,0.764304839341566,0,0,1.15621703972811,0.625612527839571,"IL2RG"
"HIF-1 signaling pathway","1/109",0.588894466529584,0.767347335174912,0,0,1.13469059121233,0.600828069364318,"SERPINE1"
"Cholinergic synapse","1/113",0.602125493707773,0.768808909467554,0,0,1.09394409937888,0.554946239341984,"ACHE"
"Glutamatergic synapse","1/114",0.605366578975001,0.768808909467554,0,0,1.08420821194965,0.544186966209146,"PLA2G4C"
"Leukocyte transendothelial migration","1/114",0.605366578975001,0.768808909467554,0,0,1.08420821194965,0.544186966209146,"NCF2"
"Endocytosis","2/252",0.607895416788299,0.768808909467554,0,0,0.9794,0.487498723745393,"EHD2;IL2RG"
"Sphingolipid signaling pathway","1/119",0.621182597910399,0.770721130633394,0,0,1.0380040004211,0.494225054154879,"GAB2"
"Neurotrophin signaling pathway","1/119",0.621182597910399,0.770721130633394,0,0,1.0380040004211,0.494225054154879,"RPS6KA2"
"Pathways in cancer","4/531",0.62713521915664,0.770721130633394,0,0,0.927677563471285,0.432847951127286,"LAMB3;CDH1;IL2RG;BIRC3"
"Thyroid hormone signaling pathway","1/121",0.627331152841135,0.770721130633394,0,0,1.02060041407867,0.475886299299458,"RCAN1"
"Lysosome","1/128",0.648080340273096,0.783475178184221,0,0,0.96400449943757,0.418127898098012,"LAMP3"
