"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KRAS Signaling Dn","24/200",0.00435555887469761,0.0125542579329519,0,0,1.90137221269297,10.3364342232852,"EDN1;TGFB2;ITIH3;EDN2;THRB;CAMK1D;KRT4;SHOX2;KRT13;ALOX12B;CACNA1F;UPK3B;LFNG;NR4A2;TG;NPHS1;MYO15A;KRT15;NTF3;KCNN1;TFF2;EFHD1;SYNPO;SGK1"
"Hedgehog Signaling","7/36",0.00927542910232284,0.02524977922299,0,0,3.34945269541086,15.6767328670178,"ACHE;SHH;TLE1;DPYSL2;CRMP1;L1CAM;VEGFA"
"Apical Surface","7/44",0.0267239175238446,0.0689195767720202,0,0,2.62411890280743,9.50507385173853,"PKHD1;SLC34A3;ATP8B1;PLAUR;GATA3;EFNA5;IL2RG"
"Angiogenesis","6/36",0.0317822101223525,0.0778664147997637,0,0,2.77304542069993,9.56381374994863,"SLCO2A1;STC1;PDGFA;OLR1;FSTL1;VEGFA"
"mTORC1 Signaling","20/200",0.050298349533632,0.117362815578475,0,0,1.54426887383998,4.61702884939522,"NIBAN1;PPP1R15A;EGLN3;IGFBP5;GBE1;ITGB2;SLC2A1;STC1;SLA;PLOD2;AK4;SLC2A3;HK2;NFIL3;P4HA1;DDIT3;DDIT4;BHLHE40;PGK1;PDK1"
"Cholesterol Homeostasis","9/74",0.0603918728173339,0.134509171274971,0,0,1.9204822043628,5.3906029188529,"NIBAN1;ERRFI1;NFIL3;TP53INP1;PLAUR;ANTXR2;CPEB2;ATF3;PNRC1"
"heme Metabolism","18/200",0.129566706292243,0.276033417753039,0,0,1.37235491780946,2.80448882530814,"SLC22A4;BNIP3L;SMOX;SLC2A1;PPP2R5B;FOXJ2;BACH1;ANK1;EPOR;C3;KAT2B;P4HA2;RNF19A;UCP2;MXI1;YPEL5;KDM7A;TNS1"
"TGF-beta Signaling","6/54",0.154699948283592,0.315845727745667,0,0,1.73147803425168,3.23140179818223,"PPP1R15A;CDH1;SERPINE1;NOG;PMEPA1;THBS1"
"Xenobiotic Metabolism","17/200",0.193525587429863,0.379310151362531,0,0,1.28799291094373,2.11532941345172,"IGFBP1;CDA;GABARAPL1;TGFB2;SMOX;PROS1;SERPINE1;AKR1C3;SLC6A12;LCAT;CYP26A1;HSD17B2;ATOH8;AOX1;CYP2E1;UPP1;XDH"
"IL-6/JAK/STAT3 Signaling","8/87",0.232257865482551,0.421537717573327,0,0,1.40246745768791,2.04747210841726,"JUN;CSF2;EBI3;PDGFC;CSF2RB;IL2RG;IL17RB;PIK3R5"
"Androgen Response","9/100",0.232275885193466,0.421537717573327,0,0,1.36985402657044,1.99975325496977,"HERC3;MAF;PMEPA1;DNAJB9;KLK3;SGK1;SEC24D;NDRG1;PLPP1"
"Interferon Gamma Response","16/200",0.27539505031929,0.481941338058757,0,0,1.20467073290062,1.55348153603423,"BTG1;EIF4E3;AUTS2;C1S;IL15;IL10RA;MVP;SECTM1;TNFAIP3;CSF2RB;ISG20;SERPING1;TXNIP;CCL2;ITGB7;UPP1"
"Unfolded Protein Response","9/113",0.352729006524901,0.590235335629547,0,0,1.19778272101033,1.24815571741415,"TSPYL2;IGFBP1;STC2;DDIT4;DNAJB9;CCL2;ATF3;HERPUD1;VEGFA"
"Notch Signaling","3/32",0.367543474524263,0.590235335629547,0,0,1.4312138135984,1.43252146972263,"LFNG;MAML2;DTX4"
"Adipogenesis","15/200",0.373414191928897,0.590235335629547,0,0,1.12237124680903,1.10561092332149,"ABCA1;ITIH5;PFKFB3;CAVIN2;GPX3;GBE1;HSPB8;TOB1;C3;BCL6;CCNG2;UCP2;DNAJB9;ANGPTL4;MGLL"
"Allograft Rejection","13/200",0.59589308873984,0.912461292132881,0,0,0.960773639886003,0.497386757678222,"ACHE;IL11;TGFB2;IL15;ITGB2;INHBB;INHBA;IL2RG;ETS1;EREG;LCK;CD7;CCL2"
"Interferon Alpha Response","6/97",0.645442439869911,0.938261681029013,0,0,0.911196026609281,0.398939155558823,"ISG20;UBA7;C1S;IL15;LAMP3;TXNIP"
"Reactive Oxygen Species Pathway","3/49",0.651038717448703,0.938261681029013,0,0,0.901463272821242,0.386895564711189,"PDLIM1;CDKN2D;GPX3"
"PI3K/AKT/mTOR  Signaling","6/105",0.719423611948724,0.999995553771037,0,0,0.837203005482976,0.275695074215092,"LCK;DDIT3;SLC2A1;SLA;IL2RG;PDK1"
"UV Response Up","9/158",0.74617519946527,0.999995553771037,0,0,0.83400781328258,0.244193196359975,"BTG1;GPX3;SHOX2;TCHH;SLC6A12;FOSB;ENO2;CXCL2;ATF3"
"Pancreas Beta Cells","1/40",0.938952245828753,0.999995553771037,0,0,0.35402876055695,0.022300504394138,"MAFB"
"Wnt-beta Catenin Signaling","1/42",0.946925166028287,0.999995553771037,0,0,0.336722877614533,0.01836325320075,"DKK1"
"Bile Acid Metabolism","4/112",0.949163284161703,0.999995553771037,0,0,0.510615448161917,0.0266410730170669,"ABCA1;HSD3B7;LCK;PEX11G"
"Fatty Acid Metabolism","6/158",0.959714656662354,0.999995553771037,0,0,0.543725751459811,0.0223576067120912,"IL4I1;GABARAPL1;TP53INP2;ENO2;INMT;MGLL"
"Protein Secretion","3/96",0.961333841985759,0.999995553771037,0,0,0.444758663662944,0.0175384086135625,"ABCA1;CAV2;SEC24D"
"Mitotic Spindle","8/199",0.962415439166296,0.999995553771037,0,0,0.57657995322706,0.0220882429946031,"MARCKS;TRIO;GSN;NEDD9;ARHGAP29;SYNPO;KIFAP3;EZR"
"Pperoxisome","3/104",0.974636349004415,0.999995553771037,0,0,0.409353713974666,0.0105166460649354,"HSD3B7;CADM1;MVP"
"Myc Targets V2","1/58",0.982684542963336,0.999995553771037,0,0,0.241995939403405,0.00422697281206174,"HK2"
"Spermatogenesis","4/135",0.983369763036241,0.999995553771037,0,0,0.420443258889299,0.0070508636592071,"PCSK1N;CHRM4;CNIH2;CCT6B"
"DNA Repair","2/150",0.999673086725835,0.999995553771037,0,0,0.185627721262465,6.06940875257711e-05,"CDA;AGO4"
"G2-M Checkpoint","2/200",0.999983860791353,0.999995553771037,0,0,0.138377089379317,2.23331473952792e-06,"MARCKS;EFNA5"
"Myc Targets V1","1/200",0.999995553771037,0.999995553771037,0,0,0.0687860668326797,3.05839282541914e-07,"PGK1"
"Oxidative Phosphorylation","1/200",0.999995553771037,0.999995553771037,0,0,0.0687860668326797,3.05839282541914e-07,"ATP1B1"
