"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"positive regulation of cytosolic calcium ion concentration (GO:0007204)","1/147",0.698790304369438,0.724529445674582,0,0,0.837743554837063,0.300251123152982,"CD55"
"regulation of cytosolic calcium ion concentration (GO:0051480)","1/148",0.701248156736344,0.725715146335169,0,0,0.832002366163857,0.29527219070902,"CD55"
"positive regulation of intracellular protein transport (GO:0090316)","1/148",0.701248156736344,0.725715146335169,0,0,0.832002366163857,0.29527219070902,"CDH1"
"mRNA processing (GO:0006397)","2/300",0.701579495209888,0.725715146335169,0,0,0.819630872483222,0.290494446000305,"LSM7;PPARGC1A"
"positive regulation of hydrolase activity (GO:0051345)","1/149",0.703686075910075,0.72732553002268,0,0,0.82633876112137,0.290394394534137,"RGS16"
"chemical synaptic transmission (GO:0007268)","2/306",0.711891290443004,0.735231988490315,0,0,0.803207236842105,0.272953964443751,"RPS6KA2;NPTX2"
"dephosphorylation (GO:0016311)","1/153",0.713241614030473,0.735478297242647,0,0,0.804429552141223,0.27184493799879,"ALPP"
"positive regulation of Wnt signaling pathway (GO:0030177)","1/153",0.713241614030473,0.735478297242647,0,0,0.804429552141223,0.27184493799879,"TNFAIP3"
"positive regulation of protein kinase activity (GO:0045860)","1/154",0.715582251310209,0.737317226233183,0,0,0.799131246701579,0.267436248271679,"CSF1"
"cellular response to interleukin-1 (GO:0071347)","1/155",0.71790390018367,0.7391337431463,0,0,0.79390175042349,0.263114570910138,"NR1D1"
"skeletal system development (GO:0001501)","1/158",0.724756441464959,0.743729018923001,0,0,0.778612968311113,0.250650793514259,"CDH11"
"T cell receptor signaling pathway (GO:0050852)","1/158",0.724756441464959,0.743729018923001,0,0,0.778612968311113,0.250650793514259,"SKAP1"
"protein polyubiquitination (GO:0000209)","2/314",0.725177954958935,0.743729018923001,0,0,0.782291666666667,0.251380195361752,"TNFAIP3;FBXO32"
